date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied,open_line,open_price,open_snapshot_ts,open_implied_prob,line_move,implied_move,movement_significant,movement_tier
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pra,UNDER,50.5,-135,0.574468085106383,0.6347982049644765,0.9936797122590144,0.0603301198580934,0.1050190975307553,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,42.5,-118,2026-05-24T13:39:47.290714+00:00,0.5412844036697247,8.0,0.033183681436658286,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4845367,Stephon Castle,SAS,pra,UNDER,26.5,105,0.4878048780487805,0.491120670815608,0.4945571433365756,0.0033157927668275,0.0067973751719965,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,30.5,-125,2026-05-24T13:39:47.290714+00:00,0.5555555555555556,-4.0,-0.0677506775067751,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4066259,De'Aaron Fox,SAS,pra,UNDER,24.5,-105,0.5121951219512195,0.5139475126239819,0.5344039048896524,0.0017523906727623,0.0034213341706312,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,23.5,-104,2026-05-24T13:39:47.290714+00:00,0.5098039215686274,1.0,0.002391200382592107,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4592479,Julian Champagnie,SAS,pts,OVER,2.5,124,0.4464285714285714,0.7115634067464789,0.970140903881064,0.2651348353179074,0.5939020311121127,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,9.5,-106,2026-05-24T13:39:47.290714+00:00,0.5145631067961165,-7.0,-0.0681345353675451,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395723,Keldon Johnson,SAS,pts,OVER,4.5,110,0.4761904761904761,0.6348752286027494,0.7997227302283318,0.1586847524122732,0.3332379800657737,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,7.5,-124,2026-05-24T13:39:47.290714+00:00,0.5535714285714286,-3.0,-0.0773809523809525,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pts,UNDER,34.5,-130,0.5652173913043478,0.7228330597453693,0.9951845772119317,0.1576156684410214,0.2788584903187302,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,24.5,-108,2026-05-24T13:39:47.290714+00:00,0.5192307692307693,10.0,0.04598662207357851,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4592479,Julian Champagnie,SAS,pts,OVER,3.5,-125,0.5555555555555556,0.7064358225048162,0.958746272232925,0.1508802669492606,0.2715844805086691,betmgm,BetMGM,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,9.5,-120,2026-05-24T13:39:47.290714+00:00,0.5454545454545454,-6.0,0.010101010101010166,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pts,UNDER,35.5,-145,0.5918367346938775,0.7235885833074486,0.9968635184609967,0.131751848613571,0.2226151924849993,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,25.5,-122,2026-05-24T13:39:47.290714+00:00,0.5495495495495496,10.0,0.04228718514432794,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5037871,Dylan Harper,SAS,pts,OVER,4.5,-135,0.574468085106383,0.6762874501872131,0.891749889304918,0.1018193650808301,0.1772411169925561,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,9.5,-122,2026-05-24T13:39:47.290714+00:00,0.5495495495495496,-5.0,0.024918535556833432,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395630,Devin Vassell,SAS,pts,OVER,15.5,-110,0.5238095238095238,0.5416850518731964,0.592633448607103,0.0178755280636725,0.0341260081215566,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,13.5,-127,2026-05-24T13:39:47.290714+00:00,0.5594713656387665,2.0,-0.0356618418292427,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4066259,De'Aaron Fox,SAS,ra,UNDER,15.5,110,0.4761904761904761,0.5889264784727787,0.988626850200942,0.1127360022823025,0.2367456047928352,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,8.5,107,2026-05-24T13:39:47.290714+00:00,0.4830917874396135,7.0,-0.0069013112491373985,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4278073,Shai Gilgeous-Alexander,OKC,ra,UNDER,12.5,-110,0.5238095238095238,0.5897972086833746,0.823753545963391,0.0659876848738507,0.1259764893046242,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,11.5,102,2026-05-24T13:39:47.290714+00:00,0.49504950495049505,1.0,0.02876001885902879,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4592479,Julian Champagnie,SAS,ra,OVER,7.5,110,0.4761904761904761,0.5201387317018413,0.6759552739694088,0.0439482555113651,0.0922913365738667,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,7.5,112,2026-05-24T13:39:47.290714+00:00,0.4716981132075472,0.0,0.0044923629829289324,False,
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,ra,UNDER,14.5,-118,0.5412844036697247,0.5745888277282162,0.6926681493901404,0.0333044240584914,0.0615285122436535,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,16.5,100,2026-05-24T13:39:47.290714+00:00,0.5,-2.0,0.041284403669724745,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4845367,Stephon Castle,SAS,ra,OVER,9.5,-110,0.5238095238095238,0.5524601021910176,0.6540394255435864,0.0286505783814937,0.0546965587283062,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,12.5,-109,2026-05-24T13:39:47.290714+00:00,0.5215311004784688,-3.0,0.0022784233310549906,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,ra,UNDER,14.5,-154,0.6062992125984252,0.6253003786926026,0.6926681493901404,0.0190011660941773,0.0313395856358509,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,16.5,103,2026-05-24T13:39:47.290714+00:00,0.49261083743842365,-2.0,0.11368837516000158,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395630,Devin Vassell,SAS,ra,UNDER,9.5,-210,0.6774193548387096,0.6844702712282946,0.7094689747913685,0.0070509163895849,0.0104084956227206,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,6.5,-114,2026-05-24T13:39:47.290714+00:00,0.5327102803738317,3.0,0.1447090744648779,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5037871,Dylan Harper,SAS,reb,OVER,2.5,-110,0.5238095238095238,0.5831052091826473,0.91911409296368,0.0592956853731234,0.1132008538941448,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,3.5,-152,2026-05-24T13:39:47.290714+00:00,0.6031746031746031,-1.0,-0.0793650793650793,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4066259,De'Aaron Fox,SAS,reb,UNDER,10.5,-180,0.6428571428571429,0.6949285714285715,0.9948432792970656,0.0520714285714285,0.081,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,3.5,-126,2026-05-24T13:39:47.290714+00:00,0.5575221238938053,7.0,0.08533501896333762,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4592479,Julian Champagnie,SAS,reb,OVER,4.5,-125,0.5555555555555556,0.5923957712001583,0.8011569931862406,0.0368402156446027,0.0663123881602849,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,5.5,-109,2026-05-24T13:39:47.290714+00:00,0.5215311004784688,-1.0,0.034024455077086735,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4845367,Stephon Castle,SAS,reb,OVER,3.5,-180,0.6428571428571429,0.6739717534054469,0.8502878798458364,0.031114610548304,0.0484005052973618,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,5.5,-102,2026-05-24T13:39:47.290714+00:00,0.504950495049505,-2.0,0.13790664780763795,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,reb,UNDER,9.5,142,0.4132231404958678,0.4238350750254722,0.4839693706932308,0.0106119345296044,0.0256808815616428,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,13.5,-120,2026-05-24T13:39:47.290714+00:00,0.5454545454545454,-4.0,-0.13223140495867763,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395630,Devin Vassell,SAS,reb,UNDER,5.5,120,0.4545454545454545,0.4656592891006724,0.5286376849135739,0.0111138345552179,0.0244504360214793,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,4.5,-139,2026-05-24T13:39:47.290714+00:00,0.5815899581589958,1.0,-0.12704450361354136,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395723,Keldon Johnson,SAS,threes,OVER,0.5,420,0.1923076923076923,0.7597365460700236,0.7597365460700236,0.5674288537623313,2.950630039564123,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,0.5,-176,2026-05-24T13:39:47.290714+00:00,0.6376811594202898,0.0,-0.4453734671125975,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5037871,Dylan Harper,SAS,threes,OVER,0.5,400,0.2,0.6728587692450814,0.6728587692450814,0.4728587692450813,2.364293846225407,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,0.5,-145,2026-05-24T13:39:47.290714+00:00,0.5918367346938775,0.0,-0.39183673469387753,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4592479,Julian Champagnie,SAS,threes,OVER,0.5,220,0.3125,0.8698623460124362,0.8698623460124362,0.5573623460124362,1.7835595072397958,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,2.5,101,2026-05-24T13:39:47.290714+00:00,0.4975124378109453,-2.0,-0.18501243781094528,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4066259,De'Aaron Fox,SAS,threes,OVER,1.5,270,0.2702702702702703,0.5493109017483377,0.5493109017483377,0.2790406314780674,1.0324503364688498,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,1.5,-107,2026-05-24T13:39:47.290714+00:00,0.5169082125603864,0.0,-0.24663794229011615,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4845367,Stephon Castle,SAS,threes,OVER,1.5,200,0.3333333333333333,0.6010160643928024,0.6010160643928024,0.2676827310594691,0.8030481931784073,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,1.5,110,2026-05-24T13:39:47.290714+00:00,0.47619047619047616,0.0,-0.14285714285714285,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395630,Devin Vassell,SAS,threes,OVER,2.5,140,0.4166666666666667,0.5228048126452425,0.5228048126452425,0.1061381459785757,0.2547315503485818,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,2.5,-110,2026-05-24T13:39:47.290714+00:00,0.5238095238095238,0.0,-0.10714285714285715,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,threes,UNDER,3.5,-298,0.7487437185929648,0.9200116301872554,0.9200116301872554,0.1712679115942905,0.2287403651494216,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,1.5,101,2026-05-24T13:39:47.290714+00:00,0.4975124378109453,2.0,0.25123128078201956,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,threes,UNDER,3.5,-420,0.8076923076923077,0.9200116301872554,0.9200116301872554,0.1123193224949477,0.1390620183270781,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,1.5,-102,2026-05-24T13:39:47.290714+00:00,0.504950495049505,2.0,0.30274181264280275,True,fast
